timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-09-28,24.22,24.22,24.22,24.22,21.8531683329993,95,0.0000,1.0
2022-09-27,24.26,24.26,24.26,24.26,21.8892594450274,2,0.0000,1.0
2022-09-26,24.25,24.25,24.25,24.25,21.8802366670204,0,0.0000,1.0
2022-09-23,24.2743,24.2743,24.26,24.26,21.8892594450274,340,0.0000,1.0
2022-09-22,24.27,24.27,24.27,24.27,21.8982822230344,45,0.0000,1.0
2022-09-21,24.26,24.26,24.26,24.26,21.8892594450274,22,0.0000,1.0
2022-09-20,24.26,24.26,24.26,24.26,21.8892594450274,107,0.0000,1.0
2022-09-19,24.28,24.28,24.28,24.28,21.9073050010415,2,0.0000,1.0
2022-09-16,24.28,24.28,24.28,24.28,21.9073050010415,111,0.0000,1.0
2022-09-15,24.31,24.31,24.31,24.31,21.9343733350625,41,0.0000,1.0
2022-09-14,24.31,24.31,24.31,24.31,21.9343733350625,41,0.0000,1.0
2022-09-13,24.33,24.33,24.33,24.33,21.9524188910765,34,0.0000,1.0
2022-09-12,24.31,24.31,24.31,24.31,21.9343733350625,84,0.0000,1.0
2022-09-09,24.33,24.33,24.33,24.33,21.9524188910765,3,0.0000,1.0
2022-09-08,24.33,24.33,24.33,24.33,21.9524188910765,2,0.0000,1.0
2022-09-07,24.32,24.32,24.32,24.32,21.9433961130695,15,0.0000,1.0
2022-09-06,24.32,24.32,24.32,24.32,21.9433961130695,55,0.0000,1.0
2022-09-02,24.41,24.41,24.365,24.365,21.9839986141011,465,0.0000,1.0
2022-09-01,24.36,24.36,24.34,24.34,21.9614416690836,110,0.0785,1.0
2022-08-31,24.41,24.41,24.41,24.41,21.9537969630538,1,0.0000,1.0
2022-08-30,24.43,24.43,24.43,24.43,21.9717845066532,1,0.0000,1.0
2022-08-29,24.415,24.43,24.415,24.43,21.9717845066532,331,0.0000,1.0
2022-08-26,24.41,24.43,24.41,24.43,21.9717845066532,206,0.0000,1.0
2022-08-25,24.43,24.43,24.43,24.43,21.9717845066532,21,0.0000,1.0
2022-08-24,24.43,24.43,24.43,24.43,21.9717845066532,445,0.0000,1.0
2022-08-23,24.4599,24.46,24.43,24.43,21.9717845066532,445,0.0000,1.0
2022-08-22,24.45,24.45,24.42,24.42,21.9627907348535,826,0.0000,1.0
2022-08-19,24.41,24.41,24.41,24.41,21.9537969630538,6,0.0000,1.0
